Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
,,,Base Set 2,107,https://www.tcgplayer.com/product/42556/pokemon-base-set-2-scoop-up,
,,,Legendary Collection,104,https://www.tcgplayer.com/product/88973/pokemon-legendary-collection-scoop-up,
,,Gust of Wind,Base Set,93,https://www.tcgplayer.com/product/42437/pokemon-base-set-gust-of-wind,
,,,Base Set 2,120,https://www.tcgplayer.com/product/42562/pokemon-base-set-2-gust-of-wind,
,,Mr. Fuji,Fossil,58,https://www.tcgplayer.com/product/44460/pokemon-fossil-mr-fuji,
,,Pokémon Fan Club,POP Series 4,9,https://www.tcgplayer.com/product/88226/pokemon-pop-series-4-pokemon-fan-club,
,,Scoop Up,Next Quest,4,,
,,Wigglytuff,Crimson Invasion,72,https://www.tcgplayer.com/product/149098/pokemon-sm-crimson-invasion-wigglytuff,
,,Koko,Koko Illustration Contest,Parent-Child,,Jumbo
,,Gloom,Obsidian Flames,198,https://www.tcgplayer.com/product/509944/pokemon-sv03-obsidian-flames-gloom-198-197,
,,Pokémon Communication,Team Up,152b,https://www.tcgplayer.com/product/216702/pokemon-alternate-art-promos-pokemon-communication-152b-181?Language=English,silhouette
14,Kakuna,Switch,Base Set,95,https://www.tcgplayer.com/product/42439/pokemon-base-set-switch,
,,,Base Set 2,123,https://www.tcgplayer.com/product/42564/pokemon-base-set-2-switch,
,,,VS: Tropical Mega Battle,-,https://www.tcgplayer.com/product/615315/pokemon-japan-pokemon-vs-switch,
,,,Evolutions,88,https://www.tcgplayer.com/product/124101/pokemon-xy-evolutions-switch,
,,Pikachu,XY-P Promos,-,,
,,Komala,Lost Origin,149,https://www.tcgplayer.com/product/284077/pokemon-swsh11-lost-origin-komala,
15,Beedrill,Koga's Kakuna,Gym Challenge,47,https://www.tcgplayer.com/product/86510/pokemon-gym-challenge-kogas-kakuna,
,,Mew,XY-P Promos,-,,
,,Blaine's Quiz #1,Gym Heroes,97,https://www.tcgplayer.com/product/83879/pokemon-gym-heroes-blaines-quiz-1,silhouette
,Mega Beedrill,Beedrill Spirit Link,XY Promos,159,https://www.tcgplayer.com/product/125564/pokemon-xy-promos-beedrill-spirit-link-xy159,
16,Pidgey,Eevee,Hidden Fates,48,https://www.tcgplayer.com/product/197693/pokemon-hidden-fates-eevee-48,
,,Pikachu,151,173,https://www.tcgplayer.com/product/513721/pokemon-sv-scarlet-and-violet-151-pikachu-173-165,
,,Machoke,151,177,https://www.tcgplayer.com/product/517025/pokemon-sv-scarlet-and-violet-151-machoke-177-165,
,,Charmander,SV Promos,44,https://www.tcgplayer.com/product/512035/pokemon-sv-scarlet-and-violet-promo-cards-charmander-044,
,,Snorlax,SV Promos,51,https://www.tcgplayer.com/product/517175/pokemon-sv-scarlet-and-violet-promo-cards-snorlax-051,
